ID,Text,Time Posted
952166927476183040,AMERICA FIRST!,2018-01-13 13:14:20
952166857670320128,The Democrats are all talk and no action. They are doing nothing to fix DACA. Great opportunity missed. Too bad!,2018-01-13 13:14:03
952166643202916352,"Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA, from Mexico and many others will follow. Tax cut money to employees is pouring into our economy with many more companies announcing. American business is hot again!",2018-01-13 13:13:12
951875499537641472,"Today, it was my great honor to proclaim January 15, 2018, as Martin Luther King Jr., Federal Holiday. I encourage all Americans to observe this day with appropriate civic, community, and service activities in honor of Dr. Kings life and legacy. ",2018-01-12 17:56:18
951813216291708928,"Never said anything derogatory about Haitians other than Haiti is, obviously, a very poor and troubled country. Never said “take them out. Made up by Dems. I have a wonderful relationship with Haitians. Probably should record future meetings - unfortunately, no trust!",2018-01-12 13:48:49
951798415301718017,"Sadly, Democrats want to stop paying our troops and government workers in order to give a sweetheart deal, not a fair deal, for DACA. Take care of our Military, and our Country, FIRST!",2018-01-12 12:50:00
951793123985973248,"The language used by me at the DACA meeting was tough, but this was not the language used. What was really tough was the outlandish proposal made - a big setback for DACA!",2018-01-12 12:28:58
951790999784783872,"....Because of the Democrats not being interested in life and safety, DACA has now taken a big step backwards. The Dems will threaten “shutdown, but what they are really doing is shutting down our military, at a time we need it most. Get smart, MAKE AMERICA GREAT AGAIN!",2018-01-12 12:20:32
951788342647107584,"....countries which are doing badly. I want a merit based system of immigration and people who will help take our country to the next level. I want safety and security for our people. I want to stop the massive inflow of drugs. I want to fund our military, not do a Dem defund....",2018-01-12 12:09:58
951785587765280768,"The so-called bipartisan DACA deal presented yesterday to myself and a group of Republican Senators and Congressmen was a big step backwards. Wall was not properly funded, Chain and Lottery were made worse and USA would be forced to take large numbers of people from high crime.....",2018-01-12 11:59:02
951679619341737986,"Reason I canceled my trip to London is that I am not a big fan of the Obama Administration having sold perhaps the best located and finest embassy in London for “peanuts, only to build a new one in an off location for 1.2 billion dollars. Bad deal. Wanted me to cut ribbon-NO!",2018-01-12 04:57:57
951675713089888256,"The Democrats seem intent on having people and drugs pour into our country from the Southern Border, risking thousands of lives in the process. It is my duty to protect the lives and safety of all Americans. We must build a Great Wall, think Merit and end Lottery and Chain. USA!",2018-01-12 04:42:25
951650274032209920,Democrat Dianne Feinstein should never have released secret committee testimony to the public without authorization. Very disrespectful to committee members and possibly illegal. She blamed her poor decision on the fact she had a cold - a first!,2018-01-12 03:01:20
951648197440569344,"Chrysler is moving a massive plant from Mexico to Michigan, reversing a years long opposite trend. Thank you Chrysler, a very wise decision. The voters in Michigan are very happy they voted for Trump/Pence. Plenty of more to follow!",2018-01-12 02:53:05
951647402599026689,"More great news as a result of historical Tax Cuts and Reform: Fiat Chrysler announces plan to invest more than $1 BILLION in Michigan plant, relocating their heavy-truck production from Mexico to Michigan, adding 2,500 new jobs and paying $2,000 bonus to U.S. employees! ",2018-01-12 02:49:56
951646736233189377,Small Business Poll has highest approval numbers in the polls history. All business is just at the beginning of something really special!,2018-01-12 02:47:17
951645893513613312,"Thank you Adam Levine, The Federalist, in interview on @foxandfriends  “Donald Trump is the greatest President our Country has ever seen.",2018-01-12 02:43:56
951596346011680768,"Yesterday, I signed the #INTERDICTAct -H.R. 2142- with bipartisan members of Congress to help end the flow of drugs into our country. Together, we are committed to doing everything we can to combat the deadly scourge of drug addiction and overdose in the United States! ",2018-01-11 23:27:03
951478281303416832,"Great news, as a result of our TAX CUTS and JOBS ACT! ",2018-01-11 15:37:54
951457382651056128,"With that being said, I have personally directed the fix to the unmasking process since taking office and today’s vote is about foreign surveillance of foreign bad guys on foreign land. We need it! Get smart!",2018-01-11 14:14:51
951441504203104256,“45 year low in illegal immigration this year. @foxandfriends,2018-01-11 13:11:46
951431836030459905,"“House votes on controversial FISA ACT today. This is the act that may have been used, with the help of the discredited and phony Dossier, to so badly surveil and abuse the Trump Campaign by the previous administration and others?",2018-01-11 12:33:21
951419415794511872,"In new Quinnipiac Poll, 66% of people feel the economy is “Excellent or Good. That is the highest number ever recorded by this poll.",2018-01-11 11:43:59
951416674808467461,Disproven and paid for by Democrats “Dossier used to spy on Trump Campaign. Did FBI use Intel tool to influence the Election? @foxandfriends  Did Dems or Clinton also pay Russians? Where are hidden and smashed DNC servers? Where are Crooked Hillary Emails?  What a mess!,2018-01-11 11:33:06
951309956720087041,"Good news: Toyota and Mazda announce giant new Huntsville, Alabama, plant which will produce over 300,000 cars and SUV’s a year and employ 4000 people. Companies are coming back to the U.S. in a very big way. Congratulations Alabama!",2018-01-11 04:29:02
951236634095308800,"Cutting taxes and simplifying regulations makes America the place to invest! Great news as Toyota and Mazda announce they are bringing 4,000 JOBS and investing $1.6 BILLION in Alabama, helping to further grow our economy! ",2018-01-10 23:37:41
951229113897013248,"The United States needs the security of the Wall on the Southern Border, which must be part of any DACA approval. The safety and security of our country is #1! ",2018-01-10 23:07:48
951204878562549767,"Today, it was my great honor to welcome Prime Minister Erna Solberg of Norway to the @WhiteHouse - a great friend and ally of the United States! Joint press conference: ",2018-01-10 21:31:30
951184020150382592,"I want to thank my @Cabinet for working tirelessly on behalf of our country. 2017 was a year of monumental achievement and we look forward to the year ahead. Together, we are delivering results and MAKING AMERICA GREAT AGAIN! ",2018-01-10 20:08:37
951109942685126656,"The single greatest Witch Hunt in American history continues. There was no collusion, everybody including the Dems knows there was no collusion, and yet on and on it goes. Russia and the world is laughing at the stupidity they are witnessing. Republicans should finally take control!",2018-01-10 15:14:15
951106475254059008,"The fact that Sneaky Dianne Feinstein, who has on numerous occasions stated that collusion between Trump/Russia has not been found, would release testimony in such an underhanded and possibly illegal way, totally without authorization, is a disgrace. Must have tough Primary!",2018-01-10 15:00:29
951094078661414912,It just shows everyone how broken and unfair our Court System is when the opposing side in a case -such as DACA- always runs to the 9th Circuit and almost always wins before being reversed by higher courts.,2018-01-10 14:11:13
950946293077209088,".@ICEgov HSI agents and ERO officers, on behalf of an entire Nation, THANK YOU for what you are doing 24/7/365 to keep fellow American’s SAFE. Everyone is so grateful!
#LawEnforcementAppreciationDay
President @realDonaldTrump ",2018-01-10 04:23:58
950937350003183618,"Thank you @GOPLeader Kevin McCarthy! Couldn’t agree w/you more. TOGETHER, we are #MAGA🇺🇸 ",2018-01-10 03:48:26
950884128379035650,"As I made very clear today, our country needs the security of the Wall on the Southern Border, which must be part of any DACA approval.",2018-01-10 00:16:57
950866561153331202,"Today, it was my great honor to sign a new Executive Order to ensure Veterans have the resources they need as they transition back to civilian life. We must ensure that our HEROES are given the care and support they so richly deserve! ",2018-01-09 23:07:09
950862709599465472,"Thanks to all of the Republican and Democratic lawmakers for today’s very productive meeting on immigration reform. There was strong agreement to negotiate a bill that deals with border security, chain migration, lottery and DACA. ",2018-01-09 22:51:50
950823813868122112,"It was my great honor to sign H.R. 267, the “Martin Luther King, Jr. National Historical Park Act, which redesignates the Martin Luther King, Junior, National Historic Site in the State of Georgia as the Martin Luther King, Jr. National Historical Park. ",2018-01-09 20:17:17
950777029816963072,"On behalf of the American people, THANK YOU to our incredible law enforcement officers. As President of the United States - I will fight for you, and I will never, ever let you down. Now, more than ever, we must support the men and women in blue! #LawEnforcementAppreciationDay ",2018-01-09 17:11:23
950507353094356993,"We are fighting for our farmers, for our country, and for our GREAT AMERICAN FLAG. We want our flag respected - and we want our NATIONAL ANTHEM respected also! ",2018-01-08 23:19:47
950502279785959425,"In every decision we make, we are honoring America’s PROUD FARMING LEGACY. Years of crushing taxes, crippling regs, and corrupt politics left our communities hurting, our economy stagnant, and millions of hardworking Americans COMPLETELY FORGOTTEN. But they are not forgotten ANYMORE! ",2018-01-08 22:59:37
950501926227136512,We have been working every day to DELIVER for America’s Farmers just as they work every day to deliver FOR US. #AFBF18 ,2018-01-08 22:58:13
950443653666713601,"Can’t wait to be back in the amazing state of Tennessee to address the 99th American @FarmBureau Federation’s Annual Convention in Nashville! #AFBF18

On my way now - join me LIVE at 4:00pmE: ",2018-01-08 19:06:40
950371619247153154,African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!  #NeverForget  @foxandfriends,2018-01-08 14:20:25
950206523690639360,"...Clinton in the WH, doubling down on Barack Obama’s failed policies, washes away any doubts that America made the right choice. This was truly a change election — and the changes Trump is bringing are far-reaching and necessary. Thank you Michael Goodwin! ",2018-01-08 03:24:23
950206338411499520,"“His is turning out to be an enormously consequential presidency. So much so that, despite my own frustration over his missteps, there has never been a day when I wished Hillary Clinton were president. Not one. Indeed, as Trump’s accomplishments accumulate, the mere thought of...",2018-01-08 03:23:39
950105312782114817,"The Stock Market has been creating tremendous benefits for our country in the form of not only Record Setting Stock Prices, but present and future Jobs, Jobs, Jobs. Seven TRILLION dollars of value created since our big election win!",2018-01-07 20:42:13
950103659337134080,"The Fake News Awards, those going to the most corrupt and biased of the Mainstream Media, will be presented to the losers on Wednesday, January 17th, rather than this coming Monday. The interest in, and importance of, these awards is far greater than anyone could have anticipated!",2018-01-07 20:35:39
950023175907266560,Jake Tapper of Fake News CNN just got destroyed in his interview with Stephen Miller of the Trump Administration. Watch the hatred and unfairness of this CNN flunky!,2018-01-07 15:15:50
950014185299210240,"I’ve had to put up with the Fake News from the first day I announced that I would be running for President. Now I have to put up with a Fake Book, written by a totally discredited author. Ronald Reagan had the same problem and handled it well. So will I!",2018-01-07 14:40:06
950012437788585985,"Leaving Camp David for the White House. Great meetings with the Cabinet and Military on many very important subjects including Border Security and the desperately needed Wall, the ever increasing Drug and Opioid Problem, Infrastructure, Military, Budget, Trade and DACA.",2018-01-07 14:33:10
949619270631256064,"....to President of the United States -on my first try-. I think that would qualify as not smart, but genius....and a very stable genius at that!",2018-01-06 12:30:51
949618475877765120,"....Actually, throughout my life, my two greatest assets have been mental stability and being, like, really smart. Crooked Hillary Clinton also played these cards very hard and, as everyone knows, went down in flames. I went from VERY successful businessman, to top T.V. Star.....",2018-01-06 12:27:42
949616329463615489,"Now that Russian collusion, after one year of intense study, has proven to be a total hoax on the American public, the Democrats and their lapdogs, the Fake News Mainstream Media, are taking out the old Ronald Reagan playbook and screaming mental stability and intelligence.....",2018-01-06 12:19:10
949610896241946626,"Brian Ross, the reporter who made a fraudulent live newscast about me that drove the Stock Market down 350 points -billions of dollars-, was suspended for a month but is now back at ABC NEWS in a lower capacity. He is no longer allowed to report on Trump. Should have been fired!",2018-01-06 11:57:35
949608746497576960,"The African American unemployment rate fell to 6.8%, the lowest rate in 45 years. I am so happy about this News! And, in the Washington Post -of all places-, headline states, “Trumps first year jobs numbers were very, very good.",2018-01-06 11:49:02
949498795074736129,"Michael Wolff is a total loser who made up stories in order to sell this really boring and untruthful book. He used Sloppy Steve Bannon, who cried when he got fired and begged for his job. Now Sloppy Steve has been dumped like a dog by almost everyone. Too bad! ",2018-01-06 04:32:08
949495534003412992,Good idea Rand! ,2018-01-06 04:19:10
949303089416294401,The Mercer Family recently dumped the leaker known as Sloppy Steve Bannon. Smart!,2018-01-05 15:34:28
949287555660500992,"Well, now that collusion with Russia is proving to be a total hoax and the only collusion is with Hillary Clinton and the FBI/Russia, the Fake News Media -Mainstream- and this phony new book are hitting out at every new front imaginable. They should try winning an election. Sad!",2018-01-05 14:32:44
949242950659313669,"Dow goes from 18,589 on November 9, 2016, to 25,075 today, for a new all-time Record. Jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history. This is all about the Make America Great Again agenda! Jobs, Jobs, Jobs. Six trillion dollars in value created!",2018-01-05 11:35:30
949129410208202757,"The Fake News Media barely mentions the fact that the Stock Market just hit another New Record and that business in the U.S. is booming...but the people know! Can you imagine if “O was president and had these numbers - would be biggest story on earth! Dow now over 25,000.",2018-01-05 04:04:20
949126530839572481,"I authorized Zero access to White House -actually turned him down many times- for author of phony book! I never spoke to him for book. Full of lies, misrepresentations and sources that don’t exist. Look at this guy’s past and watch what happens to him and Sloppy Steve!",2018-01-05 03:52:53
949070800417640454,MAKING AMERICA GREAT AGAIN! ,2018-01-05 00:11:26
949066181381632001,"Thank you to the great Republican Senators who showed up to our mtg on immigration reform. We must BUILD THE WALL, stop illegal immigration, end chain migration and cancel the visa lottery. The current system is unsafe and unfair to the great people of our country - time for change!",2018-01-04 23:53:05
948944124132167680,"Dow just crashes through 25,000. Congrats! Big cuts in unnecessary regulations continuing.",2018-01-04 15:48:04
948881133340708864,So beautiful....Show this picture to the NFL players who still kneel! ,2018-01-04 11:37:46
948879774277128197,"With all of the failed “experts weighing in, does anybody really believe that talks and dialogue would be going on between North and South Korea right now if I wasn’t firm, strong and willing to commit our total “might against the North. Fools, but talks are a good thing!",2018-01-04 11:32:22
948874586006925313,"As Americans, you need identification, sometimes in a very strong and accurate form, for almost everything you do.....except when it comes to the most important thing, VOTING for the people that run your country. Push hard for Voter Identification!",2018-01-04 11:11:45
948872192284155904,"Many mostly Democrat States refused to hand over data from the 2016 Election to the Commission On Voter Fraud. They fought hard that the Commission not see their records or methods because they know that many people are voting illegally. System is rigged, must go to Voter I.D.",2018-01-04 11:02:14
948739073237311488,MAKE AMERICA GREAT AGAIN!,2018-01-04 02:13:16
948738634722742273,"Stock Market had another good day but, now that the Tax Cut Bill has passed, we have tremendous upward potential. Dow just short of 25,000, a number that few thought would be possible this soon into my administration. Also, unemployment went down to 4.1%. Only getting better!",2018-01-04 02:11:31
948737652119031808,"“Some 40 U.S. companies have responded to President Trump’s tax cut and reform victory in Congress last year by handing out bonuses up to $2,000, increases in 401k matches and spending on charity, a much higher number than previously known. ",2018-01-04 02:07:37
948722170531893248,"Melania and I are deeply saddened by the death of Thomas S. Monson, a beloved President of the Church of Jesus Christ of Latter-day Saints...
",2018-01-04 01:06:06
948548807612084224,Such respect for the people of Iran as they try to take back their corrupt government. You will see great support from the United States at the appropriate time!,2018-01-03 13:37:13
948404303072460800,"“President Trump has something now he didn’t have a year ago, that is a set of accomplishments that nobody can deny. The accomplishments are there, look at his record, he has had a very significant first year. @LouDobbs Show,David Asman and Ed Rollins",2018-01-03 04:03:01
948359545767841792,I will be announcing THE MOST DISHONEST and CORRUPT MEDIA AWARDS OF THE YEAR on Monday at 5:00 o’clock. Subjects will cover Dishonesty and Bad Reporting in various categories from the Fake News Media. Stay tuned!,2018-01-03 01:05:10
948355557022420992,"North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times. Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger and more powerful one than his, and my Button works!",2018-01-03 00:49:19
948322497602220032,"...peace treaty with Israel. We have taken Jerusalem, the toughest part of the negotiation, off the table, but Israel, for that, would have had to pay more. But with the Palestinians no longer willing to talk peace, why should we make any of these massive future payments to them?",2018-01-02 22:37:57
948322496591384576,"Its not only Pakistan that we pay billions of dollars to for nothing, but also many other countries, and others. As an example, we pay the Palestinians HUNDRED OF MILLIONS OF DOLLARS a year and get no appreciation or respect. They don’t even want to negotiate a long overdue...",2018-01-02 22:37:56
